network_type,sim_run,round,reach,forwarding_rate,mcr,false_reach_count,average_reputation
barabasi_albert,34,102,0.97,0.21649484536082475,0.0,0,1.3649309546157848
barabasi_albert,34,103,0.97,0.4639175257731959,0.4639175257731959,97,1.3649309546157848
barabasi_albert,34,104,0.96,0.2604166666666667,0.2604166666666667,96,1.2635504238039679
barabasi_albert,34,105,0.86,0.18604651162790697,0.0,0,1.338550423803968
barabasi_albert,34,106,0.86,0.11627906976744186,0.0,0,1.398550423803968
barabasi_albert,34,107,0.99,0.42424242424242425,0.0,0,1.598550423803968
barabasi_albert,34,108,1.0,0.64,0.64,100,1.2450444866791495
barabasi_albert,34,109,1.0,0.53,0.0,0,1.49504448667915
barabasi_albert,34,110,0.98,0.5,0.0,0,1.72504448667915
barabasi_albert,34,111,0.86,0.11627906976744186,0.0,0,1.72504448667915
barabasi_albert,34,112,0.99,0.47474747474747475,0.0,0,1.95004448667915
barabasi_albert,34,113,0.83,0.1686746987951807,0.1686746987951807,83,1.95004448667915
barabasi_albert,34,114,0.9,0.15555555555555556,0.15555555555555556,90,1.8746248775184922
barabasi_albert,34,115,1.0,0.53,0.0,0,1.8746248775184922
barabasi_albert,34,116,0.91,0.16483516483516483,0.0,0,1.954624877518492
barabasi_albert,34,117,0.97,0.4742268041237113,0.0,0,1.954624877518492
barabasi_albert,34,118,0.9,0.14444444444444443,0.0,0,2.0246248775184923
barabasi_albert,34,119,0.86,0.11627906976744186,0.0,0,2.0246248775184923
barabasi_albert,34,120,0.91,0.16483516483516483,0.16483516483516483,91,1.938640788675935
barabasi_albert,34,121,0.98,0.4387755102040816,0.4387755102040816,98,1.938640788675935
barabasi_albert,34,122,0.99,0.5858585858585859,0.5858585858585859,99,1.5978293743354086
barabasi_albert,34,123,1.0,0.64,0.0,0,1.5978293743354086
barabasi_albert,34,124,0.93,0.22580645161290322,0.22580645161290322,93,1.4918974291863156
barabasi_albert,34,125,1.0,0.62,0.0,0,1.7718974291863159
barabasi_albert,34,126,1.0,0.43,0.43,100,1.7718974291863159
barabasi_albert,34,127,0.99,0.46464646464646464,0.46464646464646464,99,1.5423066548326902
barabasi_albert,34,128,0.99,0.42424242424242425,0.42424242424242425,99,1.3798571972361782
barabasi_albert,34,129,1.0,0.54,0.0,0,1.3798571972361782
barabasi_albert,34,130,0.98,0.4387755102040816,0.0,0,1.3798571972361782
barabasi_albert,34,131,0.98,0.30612244897959184,0.0,0,1.5248571972361782
barabasi_albert,34,132,0.86,0.11627906976744186,0.11627906976744186,86,1.4787661087721298
barabasi_albert,34,133,0.98,0.47959183673469385,0.0,0,1.6987661087721297
barabasi_albert,34,134,0.95,0.21052631578947367,0.0,0,1.6987661087721297
barabasi_albert,34,135,0.86,0.11627906976744186,0.0,0,1.7587661087721298
barabasi_albert,34,136,0.95,0.24210526315789474,0.0,0,1.7587661087721298
barabasi_albert,34,137,0.95,0.24210526315789474,0.0,0,1.7587661087721298
barabasi_albert,34,138,0.97,0.27835051546391754,0.0,0,1.7587661087721298
barabasi_albert,34,139,0.96,0.2604166666666667,0.0,0,1.7587661087721298
barabasi_albert,34,140,0.91,0.15384615384615385,0.15384615384615385,91,1.7587661087721298
barabasi_albert,34,141,0.94,0.20212765957446807,0.0,0,1.8587661087721299
barabasi_albert,34,142,0.91,0.16483516483516483,0.0,0,1.8587661087721299
barabasi_albert,34,143,1.0,0.55,0.0,0,1.8587661087721299
barabasi_albert,34,144,0.97,0.4845360824742268,0.4845360824742268,97,1.8587661087721299
barabasi_albert,34,145,0.98,0.29591836734693877,0.29591836734693877,98,1.8587661087721299
barabasi_albert,34,146,0.99,0.45454545454545453,0.45454545454545453,99,1.8587661087721299
barabasi_albert,34,147,0.98,0.5510204081632653,0.5510204081632653,98,1.8587661087721299
barabasi_albert,34,148,1.0,0.54,0.0,0,2.12376610877213
barabasi_albert,34,149,0.99,0.42424242424242425,0.0,0,2.33376610877213
barabasi_albert,34,150,0.86,0.11627906976744186,0.0,0,2.3937661087721303
barabasi_albert,34,151,0.86,0.12790697674418605,0.0,0,2.45876610877213
barabasi_albert,34,152,0.98,0.3877551020408163,0.0,0,2.6437661087721294
barabasi_albert,34,153,0.96,0.25,0.0,0,2.6437661087721294
barabasi_albert,34,154,0.83,0.1686746987951807,0.0,0,2.7087661087721298
barabasi_albert,34,155,0.99,0.5959595959595959,0.0,0,2.9837661087721297
barabasi_albert,34,156,0.98,0.4489795918367347,0.4489795918367347,98,2.6843288152231146
barabasi_albert,34,157,0.99,0.43434343434343436,0.43434343434343436,99,2.6843288152231146
barabasi_albert,34,158,0.99,0.40404040404040403,0.0,0,2.8793288152231145
barabasi_albert,34,159,0.83,0.1686746987951807,0.0,0,2.9443288152231144
barabasi_albert,34,160,0.97,0.28865979381443296,0.28865979381443296,97,2.801881712312335
barabasi_albert,34,161,0.86,0.12790697674418605,0.0,0,2.866881712312335
